id,user_request,intent,operation,target_field,filter_count,grouping_count,has_date_filter,has_multiple_criteria,target_data_type,formula_label
38,Rata-rata diskon mobil Matic di Kampar selama promosi Imlek,aggregation,AVERAGE,Diskon_Nominal,2,0,1,1,numeric,AVERAGEIFS
39,Hitung rata-rata jam olah boiler unit 2 saat shift Pagi bulan Feb,aggregation,AVERAGE,jam_olah,3,0,1,1,numeric,AVERAGEIFS
40,Rata-rata rendemen inti sawit Afdeling II dengan sortasi mantap,aggregation,AVERAGE,rendemen_kernel_pct,2,0,0,1,numeric,AVERAGEIFS
41,Hitung total jumlah transaksi penjualan mobil,aggregation,COUNT,Nomor_Faktur,0,0,0,0,categorical,COUNT
42,Berapa banyak data pengiriman TBS masuk,aggregation,COUNT,No_Tiket_Timbang,0,0,0,0,categorical,COUNT
43,Jumlah seluruh batch pengolahan CPO di database,aggregation,COUNT,id_batch,0,0,0,0,numeric,COUNT
44,Berapa total pencatatan log laboratorium,aggregation,COUNT,sample_id,0,0,0,0,categorical,COUNT
45,Hitung total baris data karyawan yang hadir,aggregation,COUNT,nik,0,0,0,0,categorical,COUNT
46,Berapa unit mobil merek Mitsubishi yang terjual,aggregation,COUNT,Nomor_Faktur,1,0,0,0,categorical,COUNTIF
47,Hitung frekuensi pengiriman TBS dari Afdeling IV,aggregation,COUNT,No_Tiket_Timbang,1,0,0,0,categorical,COUNTIF
48,Berapa kali boiler mengalami downtime maintenance,aggregation,COUNT,id_log,1,0,0,0,categorical,COUNTIF
49,Jumlah transaksi tunai di kasir penjualan,aggregation,COUNT,Nomor_Faktur,1,0,0,0,categorical,COUNTIF
50,Berapa batch CPO yang lolos uji laboratorium Grade Premium,aggregation,COUNT,sample_id,1,0,0,0,categorical,COUNTIF
51,Hitung jumlah SPK pengangkutan truk PT Maju Sawit,aggregation,COUNT,no_spk,1,0,0,0,categorical,COUNTIF
52,Berapa transaksi mobil Toyota di Pekanbaru selama Februari 2024,aggregation,COUNT,Nomor_Faktur,2,0,1,1,categorical,COUNTIFS
53,Hitung berapa kali pengiriman TBS dari Rayon A ditolak pada shift Malam,aggregation,COUNT,No_Tiket_Timbang,2,0,0,1,categorical,COUNTIFS
54,Jumlah batch CPO PKS Tandun dengan FFA di atas standar pada Maret 2024,aggregation,COUNT,sample_id,2,0,1,1,categorical,COUNTIFS
55,Berapa SPK pengangkutan CPO ke Dumai via Kapal Tongkang minggu 2,aggregation,COUNT,no_spk,2,0,1,1,categorical,COUNTIFS
56,Hitung jumlah pembeli kredit kendaraan di Kampar tahun 2024,aggregation,COUNT,Nomor_Faktur,2,0,1,1,categorical,COUNTIFS
57,Berapa rendemen CPO tertinggi yang pernah dicapai,ranking,MAX,rendemen_cpo_pct,0,0,0,0,numeric,MAX
58,Cari harga penjualan mobil termahal,ranking,MAX,Harga_Netto,0,0,0,0,numeric,MAX
59,TBS olah maksimum harian di seluruh PKS,ranking,MAX,tbs_olah_ton,0,0,0,0,numeric,MAX
60,Berapa kadar asam lemak bebas FFA paling tinggi di lab,ranking,MAX,ffa_pct,0,0,0,0,numeric,MAX
61,Diskon terbesar yang pernah diberikan sales,ranking,MAX,Diskon_Nominal,0,0,0,0,numeric,MAX
62,Berapa rendemen CPO terendah yang tercatat,ranking,MIN,rendemen_cpo_pct,0,0,0,0,numeric,MIN
63,Cari harga mobil paling murah di showroom,ranking,MIN,Harga_Netto,0,0,0,0,numeric,MIN
64,TBS olah minimum per batch di pabrik,ranking,MIN,tbs_olah_ton,0,0,0,0,numeric,MIN
65,Kadar air kernel paling rendah yang dicapai pengering,ranking,MIN,kadar_air_pct,0,0,0,0,numeric,MIN
66,Diskon terkecil dalam catatan promo,ranking,MIN,Diskon_Nominal,0,0,0,0,numeric,MIN
67,Cari nama pembeli berdasarkan nomor faktur FAK-2024-0089,lookup,XLOOKUP,Nama_Pelanggan,1,0,0,0,text,XLOOKUP
68,Ambil tanggal pengiriman tiket timbang TT-09881,lookup,XLOOKUP,Tanggal,1,0,0,0,date,XLOOKUP
69,Lookup kapasitas terpasang untuk kode unit boiler BL-04,lookup,XLOOKUP,kapasitas_ton_jam,1,0,0,0,numeric,XLOOKUP
70,Cari nomor telepon sopir truk plat BM 8899 QK,lookup,XLOOKUP,no_hp_sopir,1,0,0,0,text,XLOOKUP
71,Ambil standar rendemen untuk afdeling Rayon 1,lookup,XLOOKUP,target_rendemen,1,0,0,0,numeric,XLOOKUP
72,Rekap total TBS olah dikelompokkan per afdeling dan per shift,pivot_summary,PIVOT,tbs_olah_ton,0,2,0,1,numeric,PIVOT
73,Tampilkan tabel silang penjualan mobil per Merek dan per Kota,pivot_summary,PIVOT,Harga_Netto,0,2,0,1,numeric,PIVOT
74,Buat ringkasan matriks produksi CPO per PKS per bulan,pivot_summary,PIVOT,cpo_prod_ton,0,2,1,1,numeric,PIVOT
75,Rekap jumlah karyawan per departemen dan level jabatan,pivot_summary,PIVOT,nik,0,2,0,1,categorical,PIVOT
76,Tabel pivot pemakaian solar per nomor traktor dan per kebun,pivot_summary,PIVOT,volume_liter,0,2,0,1,numeric,PIVOT
77,Berapa total berat TBS terima dari Kebun Sei Buatan,aggregation,SUM,tbs_terima_ton,1,0,0,0,numeric,SUMIF
78,Total diskon yang diberikan oleh SPK Kota Dumai,aggregation,SUM,Diskon_Nominal,1,0,0,0,numeric,SUMIF
79,Hitung total jam lembur mekanik bengkel PKS,aggregation,SUM,jam_lembur,1,0,0,0,numeric,SUMIF
80,Berapa total volume CPO yang dikirim oleh CV Riau Transindo,aggregation,SUM,volume_ton,1,0,0,0,numeric,SUMIF
81,Total TBS olah PKS Tandun shift Malam pada 15 Februari 2024,aggregation,SUM,tbs_olah_ton,3,0,1,1,numeric,SUMIFS
82,Hitung total penjualan Daihatsu warna Hitam di Duri bulan Maret,aggregation,SUM,Harga_Netto,3,0,1,1,numeric,SUMIFS
83,Total biaya sparepart stasiun Thresher bulan Januari di Sei Galuh,aggregation,SUM,biaya_rupiah,2,0,1,1,numeric,SUMIFS
84,Berapa total penerimaan TBS sortasi Buah Mentah Kebun Tandun periode 2024,aggregation,SUM,tbs_terima_ton,2,0,1,1,numeric,SUMIFS
85,Rata-rata tonase TBS per truk pengangkut dari Kebun Tapung,aggregation,AVERAGE,tbs_terima_ton,1,0,0,0,numeric,AVERAGEIF
86,Hitung rata-rata diskon mobil Suzuki di Pekanbaru,aggregation,AVERAGE,Diskon_Nominal,2,0,0,1,numeric,AVERAGEIFS
87,Rata-rata rendemen CPO di PKS Lubuk Dalam shift Pagi tanggal 20 Feb,aggregation,AVERAGE,rendemen_cpo_pct,3,0,1,1,numeric,AVERAGEIFS
88,Berapa kali truk ekspedisi PT Sawit Jaya bongkar muat di pabrik,aggregation,COUNT,no_antrian,1,0,0,0,categorical,COUNTIF
89,Hitung berapa unit Honda Brio Manual terjual di Bengkalis 2024,aggregation,COUNT,Nomor_Faktur,3,0,1,1,categorical,COUNTIFS
90,Berapa sampel CPO asam tinggi yang terdeteksi di PKS Sei Rokan bulan Feb,aggregation,COUNT,sample_id,2,0,1,1,categorical,COUNTIFS
91,Cari spesifikasi kapasitas tangki storage CPO kode ST-05,lookup,XLOOKUP,kapasitas_m3,1,0,0,0,numeric,XLOOKUP
92,Lookup nama suplier untuk id vendor VEND-0012,lookup,XLOOKUP,nama_suplier,1,0,0,0,text,XLOOKUP
93,Buat matriks rekapitulasi penjualan unit per model dan tipe pembayaran,pivot_summary,PIVOT,Harga_Netto,0,2,0,1,numeric,PIVOT
94,Rekapitulasi total jam henti pabrik per stasiun dan penyebab downtime,pivot_summary,PIVOT,jam_downtime,0,2,0,1,numeric,PIVOT
95,Jumlahkan seluruh nilai penjualan tanpa filter,aggregation,SUM,Harga_Netto,0,0,0,0,numeric,SUM
96,Hitung grand total tonase CPO terkirim ke seluruh pelabuhan,aggregation,SUM,cpo_kirim_ton,0,0,0,0,numeric,SUM
97,Rata-rata harga bersih mobil tanpa kriteria apapun,aggregation,AVERAGE,Harga_Netto,0,0,0,0,numeric,AVERAGE
98,Berapa rata-rata kadar kotoran CPO di semua tangki timbun,aggregation,AVERAGE,kotoran_pct,0,0,0,0,numeric,AVERAGE
99,Berapa total baris transaksi di lembar kerja ini,aggregation,COUNT,id_transaksi,0,0,0,0,categorical,COUNT
100,Hitung jumlah seluruh data pengujian mutu TBS di laboratorium,aggregation,COUNT,no_lab,0,0,0,0,categorical,COUNT
101,Ambil data mobil brio,filter_recap,FILTER,None,1,0,0,0,none,FILTER
102,Tampilkan semua data mobil brio dalam bentuk tabel,filter_recap,FILTER,None,1,0,0,0,none,FILTER
103,Filter data mobil brio,filter_recap,FILTER,None,1,0,0,0,none,FILTER
104,Ekstrak seluruh transaksi mobil brio,filter_recap,FILTER,None,1,0,0,0,none,FILTER
105,Ambil data penjualan mobil merek Toyota,filter_recap,FILTER,None,1,0,0,0,none,FILTER
106,Tampilkan tabel data brio di Pekanbaru,filter_recap,FILTER,None,2,0,0,1,none,FILTER
107,Filter seluruh baris data mobil Avanza,filter_recap,FILTER,None,1,0,0,0,none,FILTER
108,Ambil data pengiriman TBS dari Afdeling 1,filter_recap,FILTER,None,1,0,0,0,none,FILTER
109,Tampilkan data batch CPO dengan kadar asam tinggi,filter_recap,FILTER,None,1,0,0,0,none,FILTER
110,Ekstrak data transaksi sales Budi Santoso,filter_recap,FILTER,None,1,0,0,0,none,FILTER
111,Ambil seluruh baris data mobil Daihatsu transmisi Matic,filter_recap,FILTER,None,2,0,0,1,none,FILTER
112,Tampilkan data penerimaan TBS pada bulan Februari 2024,filter_recap,FILTER,None,1,0,1,0,none,FILTER
113,Daftar lengkap transaksi mobil Brio di showroom,filter_recap,FILTER,None,1,0,0,0,none,FILTER
114,Filter tabel data karyawan divisi QC,filter_recap,FILTER,None,1,0,0,0,none,FILTER
115,Ambil data transaksi mobil brio warna hitam,filter_recap,FILTER,None,2,0,0,1,none,FILTER
116,Rangkap data mobil Toyota dan hitung totalnya,filter_recap,FILTER,Harga_Netto,1,0,0,0,numeric,FILTER
117,Rangkap data transaksi mobil Honda di cabang Panam,filter_recap,FILTER,Harga_Netto,2,0,0,1,numeric,FILTER
118,Rangkap data penjualan mobil Avanza beserta grand total,filter_recap,FILTER,Harga_Netto,1,0,0,0,numeric,FILTER
119,Rangkap seluruh data produksi CPO Pabrik Sei Galuh,filter_recap,FILTER,cpo_prod_ton,1,0,0,0,numeric,FILTER
120,Tampilkan rangkap data transaksi kredit mobil dan total omsetnya,filter_recap,FILTER,Harga_Netto,1,0,0,0,numeric,FILTER
